n_items,n_participants,category_system,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation
20,100,3-category-freq,0.03048338890075683,0.269,0.14,0.914640180844012,0.9581211952442472
50,100,3-category-freq,0.04367003440856933,0.213,0.138,0.9425841934292234,0.9468015886593932
300,100,3-category-freq,0.09461820125579834,0.131,0.20483,0.946600415798143,0.9198624653243584
600,100,3-category-freq,0.08796167373657227,0.128,0.27281,0.9483421281128684,0.8974985285125795
20,100,5-category-a-freq,0.02245173454284668,0.725,0.42,0.9027477087471756,0.9546146269126592
50,100,5-category-a-freq,0.04641532897949219,0.668,0.43,0.9498105696115532,0.9537112826182162
300,100,5-category-a-freq,0.09580307006835938,0.487,0.65689,0.9454823640414473,0.9274959556489786
600,100,5-category-a-freq,0.08717978000640869,0.452,0.73364,0.9543833171060891,0.8985118906393486
20,100,5-category-b-freq,0.02320778369903564,0.687,0.545,0.913520586432783,0.96001934987023
50,100,5-category-b-freq,0.04546029567718505,0.651,0.476,0.9448231425981084,0.9525775016438128
300,100,5-category-b-freq,0.10741214752197266,0.525,0.65553,0.949793668137793,0.9351950147061288
600,100,5-category-b-freq,0.09024710655212402,0.458,0.72156,0.952010261106452,0.90462766212391
