n_items,n_participants,simulation,model,time_to_fit,theta_coverage,beta_coverage,theta_correlation,beta_correlation,condition
20,100,No theta,Theta,205.06865799427032,1,0.965,NA,0.9824700261278492,No theta sim
50,100,No theta,Theta,416.8990345239639,1,0.984,NA,0.9829933443142932,No theta sim
600,100,No theta,Theta,680.2107926607132,1,0.95079,NA,0.921389147551592,No theta sim
300,100,No theta,Theta,769.2862704277038,1,0.94941,NA,0.9518908892417128,No theta sim
20,100,Theta,No theta,99.59909472465516,NA,0.71,NA,0.9879138964683716,No theta model
50,100,Theta,No theta,224.51462547779084,NA,0.64,NA,0.9837058121431818,No theta model
600,100,Theta,No theta,447.6056824207306,NA,0.77067,NA,0.9047464607100826,No theta model
300,100,Theta,No theta,409.5329299449921,NA,0.75872,NA,0.9494883172891224,No theta model
20,100,Skewed theta,Normal theta,149.02123267650603,0.941,0.91,0.9319056973937242,0.9861308466404274,Skewed theta
50,100,Skewed theta,Normal theta,323.21534552574155,0.958,0.908,0.9736706918793362,0.9862125917060404,Skewed theta
600,100,Skewed theta,Normal theta,715.6672258853912,0.959,0.94904,0.9853075744620852,0.9257251539705064,Skewed theta
300,100,Skewed theta,Normal theta,672.3674770593643,0.972,0.94299,0.9859698673116948,0.95479742403269,Skewed theta
20,100,Skewed beta,Normal beta,159.82530109882356,0.956,0.98,0.9357925175602648,0.9864417821090098,Skewed beta
50,100,Skewed beta,Normal beta,319.2564297914505,0.967,0.938,0.9743436285551346,0.987310983226926,Skewed beta
600,100,Skewed beta,Normal beta,736.5722589015961,0.928,0.94969,0.9853125821385998,0.9308152518430488,Skewed beta
300,100,Skewed beta,Normal beta,669.1431148290634,0.956,0.94912,0.9835444490795162,0.9613515369236868,Skewed beta
20,100,Both skewed,Both normal,150.84923849105834,0.948,0.94,0.9270519878790509,0.9821628871180614,Both skewed
50,100,Both skewed,Both normal,318.58598279953003,0.949,0.968,0.9740968601092936,0.9855345462560172,Both skewed
600,100,Both skewed,Both normal,708.3653146743775,0.966,0.95321,0.9855291930266438,0.9273006783287904,Both skewed
300,100,Both skewed,Both normal,666.5926926374435,0.962,0.95166,0.9845344995329954,0.958565104303654,Both skewed
20,100,Mixture,Both normal,158.6975284099579,0.952,0.975,0.9412155733149574,0.986912622573392,Mixture
50,100,Mixture,Both normal,325.74953110218047,0.963,0.966,0.9735989002689506,0.9869875966687524,Mixture
600,100,Mixture,Both normal,726.527909231186,0.934,0.94951,0.9857511986562476,0.9302378428779764,Mixture
300,100,Mixture,Both normal,674.9915570020676,0.94,0.94357,0.9839080228605828,0.956696851326379,Mixture
